player_id,name,team,role,nationality,age,matches,innings,runs,average,strike_rate,hundreds,fifties,highest_score,wickets,bowling_avg,economy,catches,stumpings,form_score,market_value,2019_runs,2020_runs,2021_runs,2022_runs,2023_runs,2024_runs,speed,power,technique,consistency,fielding,leadership,last_updated
P001,Virat Kohli,India,Batsman,Indian,35,506,494,24139,48.86,91.7,76,130,254,0,0.0,0.0,120,0,88,15000000,2455,2011,1850,2100,2200,2039,62,85,95,90,78,88,2026-05-09 05:35:02
P002,Rohit Sharma,India,Batsman,Indian,37,496,473,20263,42.84,90.6,45,98,264,0,0.0,0.0,95,0,82,14000000,2200,1800,1900,2050,1950,2013,65,88,90,82,80,92,2026-05-09 05:35:02
P003,Joe Root,England,Batsman,English,33,459,449,13128,29.24,88.5,32,62,228,5,45.2,3.1,110,0,84,12000000,1850,1600,1700,1900,2100,1928,60,75,92,88,82,85,2026-05-09 05:35:02
P004,Steve Smith,Australia,Batsman,Australian,35,443,429,9210,21.47,56.8,30,38,239,0,0.0,0.0,85,0,86,13000000,1700,1500,1600,1800,1900,1760,55,78,94,91,70,80,2026-05-09 05:35:02
P005,Babar Azam,Pakistan,Batsman,Pakistani,29,426,414,9543,23.05,88.3,26,52,196,0,0.0,0.0,90,0,89,11000000,1600,1800,2100,2300,2200,2043,63,82,91,87,75,78,2026-05-09 05:35:02
P006,Ben Stokes,England,All-Rounder,English,33,309,291,6079,20.89,97.2,12,28,258,217,32.1,3.44,95,0,85,10000000,900,850,950,1100,1300,1279,72,92,88,80,85,95,2026-05-09 05:35:02
P007,Ravindra Jadeja,India,All-Rounder,Indian,35,246,201,2862,14.24,58.8,2,14,175,274,24.8,2.63,115,0,83,9000000,480,420,550,680,750,762,68,80,82,85,92,88,2026-05-09 05:35:02
P008,Pat Cummins,Australia,Bowler,Australian,31,203,150,900,15.2,82.4,0,2,55,256,21.5,3.62,75,0,80,9500000,150,180,200,220,250,240,88,85,72,82,78,90,2026-05-09 05:35:02
P009,Jasprit Bumrah,India,Bowler,Indian,30,186,130,450,11.2,75.6,0,0,35,301,19.8,3.8,65,0,87,9000000,80,90,110,130,150,140,92,82,78,88,70,82,2026-05-09 05:35:02
P010,Mitchell Starc,Australia,Bowler,Australian,34,203,155,800,14.8,88.5,0,1,50,229,24.2,4.71,70,0,78,8500000,120,130,150,160,180,170,90,88,75,80,72,80,2026-05-09 05:35:02
P011,MS Dhoni,India,Wicket-Keeper,Indian,43,353,286,10766,37.64,133.1,16,73,183,0,0.0,0.0,140,195,81,8000000,1100,900,850,800,700,666,70,88,85,88,95,98,2026-05-09 05:35:02
P012,Jos Buttler,England,Wicket-Keeper,English,33,226,216,5886,27.25,144.7,8,35,162,0,0.0,0.0,95,45,85,8500000,1100,950,1200,1350,1500,1486,68,90,84,82,88,86,2026-05-09 05:35:02
P013,Kane Williamson,New Zealand,Batsman,New Zealander,34,436,418,8660,20.72,69.1,24,44,251,0,0.0,0.0,98,0,80,10000000,1600,1400,1550,1700,1800,1760,58,72,93,89,80,88,2026-05-09 05:35:02
P014,David Warner,Australia,Batsman,Australian,38,423,414,9828,23.74,95.3,24,35,335,0,0.0,0.0,88,0,67,9000000,1800,1600,1700,1850,1900,1878,68,85,86,78,75,78,2026-05-09 05:35:02
P015,Shakib Al Hasan,Bangladesh,All-Rounder,Bangladeshi,37,369,349,7066,20.25,79.1,9,46,154,299,29.8,2.75,95,0,82,7000000,900,850,950,1050,1100,1046,65,78,84,83,82,88,2026-05-09 05:35:02
P016,AB de Villiers,South Africa,Batsman,South African,40,429,393,9659,24.58,96.7,25,52,278,0,0.0,0.0,100,0,100,12000000,1800,1600,1750,0,0,59,72,90,92,86,88,85,2026-05-09 05:35:02
P017,Hardik Pandya,India,All-Rounder,Indian,30,186,174,2918,16.77,152.1,0,18,91,97,36.5,8.35,78,0,89,8000000,550,480,500,600,700,868,78,92,78,72,80,82,2026-05-09 05:35:02
P018,Trent Boult,New Zealand,Bowler,New Zealander,35,198,145,620,12.8,68.9,0,0,52,253,26.8,3.84,72,0,78,7500000,100,110,120,135,140,130,86,80,78,80,74,78,2026-05-09 05:35:02
P019,Quinton de Kock,South Africa,Wicket-Keeper,South African,32,253,247,7644,30.95,122.3,12,42,183,0,0.0,0.0,102,55,83,8000000,1350,1200,1300,1450,1500,1544,70,86,85,82,90,80,2026-05-09 05:35:02
P020,Rashid Khan,Afghanistan,Bowler,Afghan,26,189,120,800,18.5,142.5,0,3,35,333,19.2,6.26,75,0,88,8500000,250,280,310,340,360,380,72,75,82,88,78,82,2026-05-09 05:35:02
