player_id,name,team,role,nationality,age,matches,innings,runs,average,strike_rate,hundreds,fifties,highest_score,wickets,bowling_avg,economy,catches,stumpings,form_score,market_value,2019_runs,2020_runs,2021_runs,2022_runs,2023_runs,2024_runs,speed,power,technique,consistency,fielding,leadership,last_updated
P001,Virat Kohli,India,Batsman,Indian,35,504,491,24094,49.07,92.2,76,130,254,0,0.0,0.0,120,0,88,15000000,2455,2011,1850,2100,2200,1994,62,85,95,90,78,88,2026-05-09 04:39:24
P002,Rohit Sharma,India,Batsman,Indian,37,494,472,20179,42.75,90.3,45,98,264,0,0.0,0.0,95,0,82,14000000,2200,1800,1900,2050,1950,1929,65,88,90,82,80,92,2026-05-09 04:39:24
P003,Joe Root,England,Batsman,English,33,456,446,13094,29.36,88.5,32,62,228,5,45.2,3.1,110,0,84,12000000,1850,1600,1700,1900,2100,1894,60,75,92,88,82,85,2026-05-09 04:39:24
P004,Steve Smith,Australia,Batsman,Australian,35,442,426,9188,21.57,56.3,30,38,239,0,0.0,0.0,85,0,86,13000000,1700,1500,1600,1800,1900,1738,55,78,94,91,70,80,2026-05-09 04:39:24
P005,Babar Azam,Pakistan,Batsman,Pakistani,29,424,411,9534,23.2,88.5,26,52,196,0,0.0,0.0,90,0,89,11000000,1600,1800,2100,2300,2200,2034,63,82,91,87,75,78,2026-05-09 04:39:24
P006,Ben Stokes,England,All-Rounder,English,33,306,289,6059,20.97,96.6,12,28,258,210,32.1,3.46,95,0,85,10000000,900,850,950,1100,1300,1259,72,92,88,80,85,95,2026-05-09 04:39:24
P007,Ravindra Jadeja,India,All-Rounder,Indian,35,244,199,2848,14.31,59.9,2,14,175,266,24.8,2.62,115,0,83,9000000,480,420,550,680,750,748,68,80,82,85,92,88,2026-05-09 04:39:24
P008,Pat Cummins,Australia,Bowler,Australian,31,202,150,900,15.2,82.4,0,2,55,254,21.5,3.68,75,0,80,9500000,150,180,200,220,250,240,88,85,72,82,78,90,2026-05-09 04:39:24
P009,Jasprit Bumrah,India,Bowler,Indian,30,184,130,450,11.2,75.6,0,0,35,294,19.8,3.9,65,0,87,9000000,80,90,110,130,150,140,92,82,78,88,70,82,2026-05-09 04:39:24
P010,Mitchell Starc,Australia,Bowler,Australian,34,202,155,800,14.8,88.5,0,1,50,226,24.2,4.64,70,0,78,8500000,120,130,150,160,180,170,90,88,75,80,72,80,2026-05-09 04:39:24
P011,MS Dhoni,India,Wicket-Keeper,Indian,43,352,284,10746,37.84,133.8,16,73,183,0,0.0,0.0,140,195,81,8000000,1100,900,850,800,700,646,70,88,85,88,95,98,2026-05-09 04:39:24
P012,Jos Buttler,England,Wicket-Keeper,English,33,224,214,5861,27.39,146.1,8,35,162,0,0.0,0.0,95,45,85,8500000,1100,950,1200,1350,1500,1461,68,90,84,82,88,86,2026-05-09 04:39:24
P013,Kane Williamson,New Zealand,Batsman,New Zealander,34,434,417,8626,20.69,70.2,24,44,251,0,0.0,0.0,98,0,80,10000000,1600,1400,1550,1700,1800,1726,58,72,93,89,80,88,2026-05-09 04:39:24
P014,David Warner,Australia,Batsman,Australian,38,422,411,9795,23.83,95.8,24,35,335,0,0.0,0.0,88,0,70,9000000,1800,1600,1700,1850,1900,1845,68,85,86,78,75,78,2026-05-09 04:39:24
P015,Shakib Al Hasan,Bangladesh,All-Rounder,Bangladeshi,37,366,346,7049,20.37,78.8,9,46,154,296,29.8,2.8,95,0,82,7000000,900,850,950,1050,1100,1029,65,78,84,83,82,88,2026-05-09 04:39:24
P016,AB de Villiers,South Africa,Batsman,South African,40,426,392,9645,24.6,98.2,25,52,278,0,0.0,0.0,100,0,96,12000000,1800,1600,1750,0,0,45,72,90,92,86,88,85,2026-05-09 04:39:24
P017,Hardik Pandya,India,All-Rounder,Indian,30,184,171,2887,16.88,151.0,0,18,91,93,36.5,8.3,78,0,86,8000000,550,480,500,600,700,837,78,92,78,72,80,82,2026-05-09 04:39:24
P018,Trent Boult,New Zealand,Bowler,New Zealander,35,197,145,620,12.8,68.9,0,0,52,252,26.8,3.76,72,0,78,7500000,100,110,120,135,140,130,86,80,78,80,74,78,2026-05-09 04:39:24
P019,Quinton de Kock,South Africa,Wicket-Keeper,South African,32,252,244,7602,31.16,123.4,12,42,183,0,0.0,0.0,102,55,83,8000000,1350,1200,1300,1450,1500,1502,70,86,85,82,90,80,2026-05-09 04:39:24
P020,Rashid Khan,Afghanistan,Bowler,Afghan,26,186,120,800,18.5,142.5,0,3,35,332,19.2,6.24,75,0,88,8500000,250,280,310,340,360,380,72,75,82,88,78,82,2026-05-09 04:39:24
